"idno","author-short","title-short","year","country","narrative-perspective","subgenre-theme","subgenre-current","subgenre-novela-original","subgenre-novela-americana","subgenre-novela-mexicana","subgenre-novela-argentina","subgenre-novela-cubana","tokens"
"nh0216","AnconaE","Mestiza",1891,"Mexico","heterodiegetic","novela sentimental","novela romántica","novela original","none","none","none","none",79401
"nh0217","MendezCuencaL","EspejoAmarilis",1902,"Mexico","heterodiegetic","novela de costumbres","novela naturalista","none","novela americana","novela mexicana","none","none",180344
"nh0218","LlanosJ","ArturoSierra",1884,"Argentina","heterodiegetic","novela sentimental","unknown","none","none","none","none","none",27599
"nh0219","CampoE","Camila",1856,"Argentina","heterodiegetic","novela sentimental","novela romántica","novela original","none","none","none","none",23008
"nh0220","PuigPuenteF","CampanaTarde",1873,"Cuba","heterodiegetic","novela de costumbres","novela romántica","none","novela americana","none","none","novela cubana",46047
"nh0221","IglesiaA","Alondra",1897,"Cuba","heterodiegetic","novela social","novela realista","novela original","none","none","none","none",49828
"nh0222","BungeCO","Xarcas",1903,"Argentina","heterodiegetic","novela histórica","unknown","none","none","none","none","none",33582
"nh0223","SolarA","ContraMarea",1894,"Argentina","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",51085
"nh0224","GutierrezE","Cuello",1880,"Argentina","heterodiegetic","novela criminal","novela romántica","none","none","none","none","none",113882
"nh0225","GutierrezE","Mazorca",1888,"Argentina","heterodiegetic","novela política","novela romántica","none","none","none","none","none",102306
"nh0226","GutierrezE","TragediaDoceAnos",1888,"Argentina","heterodiegetic","novela política","novela romántica","none","none","none","none","none",109335
"nh0227","MateosJA","SacerdoteCaudillo",1869,"Mexico","heterodiegetic","novela histórica","novela romántica","none","novela americana","novela mexicana","none","none",190317
"nh0228","GuiterasFontE","IreneAlbar",1885,"Cuba","heterodiegetic","novela sentimental","unknown","none","novela americana","none","none","novela cubana",40281
"nh0229","GarciaMerouM","LeySocial",1885,"Argentina","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",29429
"nh0230","OcantosCM","Zaldivar",1888,"Argentina","heterodiegetic","novela sentimental","novela realista","none","none","none","none","none",54823
"nh0231","IglesiaA","PepeAntonio",1903,"Cuba","heterodiegetic","novela histórica","unknown","none","novela americana","none","none","novela cubana",76720
"nh0232","ParraP","Pacotillas",1900,"Mexico","heterodiegetic","novela social","novela realista","none","novela americana","novela mexicana","none","none",138974
"nh0233","SegaleA","AurasAbril",1897,"Mexico","homodiegetic","novela sentimental","unknown","none","none","none","none","none",27043
"nh0234","RiveraYRioJ","PobresRicos",1884,"Mexico","heterodiegetic","novela social","novela romántica","novela original","none","none","none","none",75198
"nh0235","OcantosCM","Ginesa",1894,"Argentina","heterodiegetic","novela social","novela realista","none","novela americana","none","none","none",72786
"nh0236","MoralesV","Gerardo",1874,"Mexico","heterodiegetic","novela moralista","unknown","novela original","none","none","none","none",55996
"nh0237","PizarroN","Coqueta",1861,"Mexico","heterodiegetic","novela sentimental","novela romántica","none","none","none","none","none",51132
"nh0238","BetancourtR","FeriaCaridad",1841,"Cuba","heterodiegetic","novela de costumbres","novela romántica","none","novela americana","none","none","novela cubana",43766
"nh0239","SanJuanM","Gobernador",1901,"Mexico","heterodiegetic","novela política","novela realista","none","novela americana","novela mexicana","none","none",27133
"nh0240","CasteraP","Maduros",1882,"Mexico","heterodiegetic","novela social","novela romántica","none","none","none","none","none",17444
"nh0241","MoralesV","Epinay",1872,"Mexico","heterodiegetic","novela sentimental","unknown","novela original","none","none","none","none",24560
"nh0242","HerediaN","HombreNegocios",1882,"Cuba","heterodiegetic","novela de costumbres","unknown","none","none","none","none","none",42098
"nh0243","MarquezJ","HermanosSilencio",1896,"Cuba","heterodiegetic","novela histórica","unknown","none","none","none","none","none",27840
"nh0244","RoaBarcenaJM","QuintaModelo",1857,"Mexico","heterodiegetic","novela política","novela romántica","none","none","none","none","none",31596
"nh0245","GuerreroPallaresT","NubeNegra",1874,"Cuba","heterodiegetic","novela sentimental","unknown","novela original","none","none","none","none",41403
"nh0246","TovarP","Ironias",1851,"Mexico","heterodiegetic","novela de costumbres","novela romántica","none","none","none","none","none",206900
"nh0247","CabralJV","AmeliaFloriani",1887,"Argentina","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",172938
"nh0248","CabralJV","SanTelmo",1897,"Argentina","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",35057
"nh0249","CabralJV","LinaMontalvan",1880,"Argentina","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",45183
"nh0250","OchagaviaMR","AngelDemonio",1857,"Argentina","heterodiegetic","novela sentimental","novela romántica","novela original","none","none","none","none",23494
"nh0251","RamirezJM","Avelina",1864,"Mexico","autodiegetic","novela sentimental","novela romántica","none","none","none","none","none",17613
"nh0252","RamirezJM","Gabriela",1862,"Mexico","autodiegetic","novela sentimental","novela romántica","none","none","none","none","none",20574
"nh0253","CuellarJT","PecadoSiglo",1869,"Mexico","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",119738
"nh0254","GarciaVellosoE","Neurosis",1900,"Argentina","heterodiegetic","novela sentimental","novela naturalista","none","none","none","none","none",15849
"nh0255","SolarA","Rastaquouere",1890,"Argentina","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",48060
"nh0256","VillafaneSI","DonLino",1886,"Argentina","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",32059
